GeneID,bsf,pcf
Tb927.9.2140,3.33,3.6
Tb927.10.11000,3.33,3.6
Tb927.8.6320,3.33,3.6
Tb927.4.4230,3.32,3.61
Tb927.11.15810,3.3,3.63
Tb11.v5.0438,3.29,3.64
Tb927.10.13170,3.29,3.64
Tb927.10.5420,3.28,3.65
Tb927.4.4140,3.28,3.65
Tb927.8.3480,3.27,3.66
Tb927.11.16580,3.24,3.69
Tb927.10.440,3.44,3.5
Tb927.6.3460,3.41,3.53
Tb11.01.6250,3.4,3.54
Tb927.3.3350,3.4,3.54
Tb927.11.6760,3.39,3.55
Tb927.9.1500,3.39,3.55
Tb927.11.780,3.38,3.56
Tb927.4.650,3.36,3.58
Tb927.11.14820,3.36,3.58
Tb927.6.4190,3.34,3.6
Tb927.10.15040,3.31,3.63
Tb927.4.900,3.31,3.63
Tb927.11.16270,3.3,3.64
Tb927.11.1310,3.3,3.64
Tb927.8.3620,3.29,3.65
Tb11.v5.1027,3.29,3.65
Tb927.1.3040,3.29,3.65
Tb927.7.5870,3.26,3.68
Tb927.10.10820,3.23,3.71
Tb927.11.3460,3.21,3.73
Tb927.11.15320,3.38,3.57
Tb927.11.7340,3.38,3.57
Tb927.5.3740,3.38,3.57
Tb11.0870,3.36,3.59
Tb11.v5.0862,3.36,3.59
Tb927.11.690,3.36,3.59
Tb927.8.4900,3.36,3.59
Tb927.1.3940,3.3,3.65
Tb927.9.3490,3.41,3.54
Tb10.v4.0249,3.37,3.58
Tb927.10.6930,3.37,3.58
Tb927.9.8400,3.33,3.62
Tb927.10.8450,3.31,3.64
Tb11.v5.0310,3.31,3.64
Tb927.7.3240,3.27,3.68
Tb927.11.11040,3.27,3.68
Tb927.3.1160,3.24,3.71
Tb927.6.2980,3.21,3.74
Tb927.3.1320,3.46,3.5
Tb11.v5.0984,3.44,3.52
Tb927.5.150,3.44,3.52
Tb927.4.370,3.4,3.56
Tb927.9.190,3.38,3.58
Tb11.v5.0790,3.37,3.59
Tb927.10.2870,3.37,3.59
Tb927.9.13430,3.36,3.6
Tb927.3.5000,3.35,3.61
Tb927.8.3120,3.35,3.61
Tb927.10.7250,3.34,3.62
Tb927.11.14480,3.32,3.64
Tb927.11.16820,3.32,3.64
Tb927.11.990,3.32,3.64
Tb927.4.440,3.31,3.65
Tb11.v5.0690,3.31,3.65
Tb927.3.3050,3.31,3.65
Tb927.11.12520,3.27,3.69
Tb927.4.940,3.25,3.71
Tb927.6.830,3.44,3.53
Tb11.v5.0663,3.42,3.55
Tb927.10.8810,3.36,3.61
Tb927.11.2800,3.32,3.65
Tb927.2.2910,3.3,3.67
Tb927.8.4420,3.26,3.71
Tb927.8.7070,3.48,3.49
Tb927.11.5790,3.43,3.54
Tb927.7.3110,3.41,3.56
Tb927.7.720,3.41,3.56
Tb927.11.7400,3.37,3.6
Tb927.11.12570,3.33,3.64
Tb927.10.7590,3.33,3.64
Tb927.11.7950,3.31,3.66
Tb927.9.10190,3.29,3.68
Tb927.6.4810,3.41,3.57
Tb11.v5.0477,3.41,3.57
Tb927.10.8370,3.39,3.59
Tb927.5.2910,3.38,3.6
Tb927.10.13490,3.36,3.62
Tb927.1.570,3.33,3.65
Tb927.1.1840,3.33,3.65
Tb927.9.9990,3.31,3.67
Tb927.8.4920,3.31,3.67
Tb927.10.11120,3.3,3.68
Tb927.9.8490,3.28,3.7
Tb927.11.15530,3.26,3.72
Tb927.6.660,3.46,3.53
Tb927.4.4960,3.43,3.56
Tb927.3.1480,3.43,3.56
Tb927.2.6130,3.41,3.58
Tb927.11.7110,3.39,3.6
Tb927.10.1710,3.35,3.64
Tb927.2.5860,3.35,3.64
Tb927.9.14300,3.34,3.65
Tb927.1.1025,3.33,3.66
Tb927.4.4170,3.31,3.68
Tb927.6.3770,3.31,3.68
Tb927.7.5795,3.29,3.7
Tb927.11.7030,3.27,3.72
Tb927.3.1860,3.47,3.53
Tb927.11.14370,3.46,3.54
Tb927.8.7780,3.44,3.56
Tb927.6.2920,3.41,3.59
Tb927.10.7840,3.39,3.61
Tb927.11.11030,3.34,3.66
Tb11.v5.0706,3.32,3.68
Tb927.10.1350,3.32,3.68
Tb927.10.5550,3.3,3.7
Tb927.10.7030,3.26,3.74
Tb927.6.5060,3.21,3.79
Tb927.3.585,3.51,3.5
Tb927.7.4730,3.47,3.54
Tb11.v5.0156,3.47,3.54
Tb927.11.12120,3.45,3.56
Tb927.3.2480,3.41,3.6
Tb927.8.7140,3.39,3.62
Tb927.8.7150,3.39,3.62
Tb927.11.2080,3.39,3.62
Tb927.9.2310,3.38,3.63
Tb11.02.5110b,3.36,3.65
Tb927.11.7216,3.36,3.65
Tb927.7.560,3.31,3.7
Tb927.4.1000,3.3,3.71
Tb927.9.13530,3.53,3.49
Tb927.10.8580,3.51,3.51
Tb11.v5.0970,3.5,3.52
Tb927.4.2970,3.5,3.52
Tb927.3.670,3.47,3.55
Tb11.v5.0794,3.44,3.58
Tb927.10.7900,3.44,3.58
Tb927.10.9930,3.44,3.58
Tb927.8.4090,3.43,3.59
Tb927.8.4040,3.43,3.59
Tb927.11.590,3.43,3.59
Tb927.7.3930,3.42,3.6
Tb927.10.9110,3.41,3.61
Tb927.2.5540,3.38,3.64
Tb927.2.5600,3.38,3.64
Tb927.10.12270,3.35,3.67
Tb927.10.8320,3.33,3.69
Tb927.8.7370,3.29,3.73
Tb927.1.3290,3.28,3.74
Tb927.9.11970,3.21,3.81
Tb927.4.2870,3.5,3.53
Tb11.v5.0224,3.48,3.55
Tb927.5.430,3.48,3.55
Tb927.10.3550,3.38,3.65
Tb927.3.3710,3.38,3.65
Tb927.11.9800,3.32,3.71
Tb927.11.8910,3.49,3.54
Tb927.7.1410,3.45,3.58
Tb927.9.4630,3.43,3.6
